source,target,weight
1,fildisi_antiparos,0.005988023952095809
1,lucalarenza,0.008695652173913044
1,kimcdavies,0.058823529411764705
1,skiretzkovitzsch,0.017857142857142856
1,kgwriter,0.009523809523809525
1,mariska_doevelaar,0.01818181818181818
1,nives_official,0.006329113924050633
1,beatricefontanadesigner,0.010238907849829351
1,flightfeathers,0.010416666666666666
1,kmcouture1,0.017241379310344827
1,nevrsettl4less,0.002840909090909091
1,martinagamboni,0.002840909090909091
1,shopartesano,0.009433962264150943
1,danaavidancohn,0.09090909090909091
1,ole_lukoil,0.047619047619047616
1,espialinteriors,0.002583979328165375
1,casaveintisiete,0.06451612903225806
1,catwalkschoolgates,0.01694915254237288
1,babssh,0.017241379310344827
1,exploresimply,0.02631578947368421
1,nujoudoweis,0.02631578947368421
1,rr_alba,0.02702702702702703
1,anna_g_fashion,0.007633587786259542
1,katja_charlescannon,0.014084507042253521
1,ablondon_abhi,0.018867924528301886
1,buy.followers.65,0.04
1,mimimundu,0.05263157894736842
1,jillsharpstudio,0.003048780487804878
1,just_be_frank_official,0.0625
1,sagitine,0.017241379310344827
1,iremulku,0.1111111111111111
1,robertosalomonephotojournalist,0.00641025641025641
1,exposedzippers,0.0196078431372549
1,marielusa,0.030303030303030304
1,goodonyou_app,0.045454545454545456
1,valentinaguttuso,0.0031446540880503146
1,edenbeing,0.006557377049180328
1,jpgaultier30,0.034482758620689655
1,andjelicaaa,0.06
1,sam_gilmour,0.2
1,elks33,0.015384615384615385
1,kate__middleton__,0.007142857142857143
1,gwenwinarno,0.009523809523809525
1,maredimoda,0.01098901098901099
1,nicandtom,0.06451612903225806
1,melvin0619,0.02631578947368421
1,saraisbixito,0.011363636363636364
1,mydecodesigner,0.011363636363636364
1,feedelonofficial,0.021739130434782608
1,maviada.jewellery,0.006578947368421052
1,mataharifinejewellery,0.004761904761904762
1,happytilla,0.013793103448275862
1,_rachelanthony,0.038461538461538464
1,liebe_anta,0.01818181818181818
1,orihip._.juju,0.0196078431372549
1,oscarhumphries,0.014925373134328358
1,ber_maria,0.017857142857142856
1,linagavra,0.02631578947368421
1,afrodite_lwe,0.01818181818181818
1,missfuchsia,0.027777777777777776
1,pasqualecaravano,0.007575757575757576
1,francescocandurro,0.024096385542168676
1,jendior821,0.02857142857142857
1,gxgcollective,0.03067484662576687
1,kateelizabethvi,0.025
1,gellynaf,0.01098901098901099
1,sandandseaclub,0.045454545454545456
1,binnywear,0.0297029702970297
1,ladynadialordgg,0.01020408163265306
1,pitchmystyle,0.058823529411764705
1,giuliabermodena,0.008547008547008548
1,ivanailinjova,0.01639344262295082
1,natgrosby,0.058823529411764705
1,gizemo,0.004608294930875576
