username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,noise
adele_topa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00109051254089
adibi50,0.0027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00145401672119
adrianadegreas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00124630004674
afrodite_lwe,0.00189189189189,0.00289855072464,0.000854700854701,0.0,0.00238095238095,0.0138888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.00144927536232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00163576881134
afroditi_ligansi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agapisbokou,0.000717043574186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00113378684807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030612244898,0.0,0.0,0.00142434291056
aggelikh_pasch,0.0015444015444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00077893752921
agwwriter,0.00380112733054,0.0,0.00041135335253,0.00267379679144,0.00190985485103,0.0,0.00205676676265,0.0,0.0,0.000284446467175,0.00653594771242,0.0,0.000232504068821,0.00118835412953,0.00155971479501,0.0,0.0,0.0,0.0033422459893,0.0,0.000445632798574,0.00305576776165
aidacecchetti,0.000675675675676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018115942029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00104507451836
aileroo,0.00532818532819,0.0,0.000732600732601,0.0,0.0,0.00238095238095,0.0,0.0,0.0,0.0,0.0015873015873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00149556005608
airahtenas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00109051254089
ajbrenn,0.0018018018018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00145401672119
al_ties,0.00719854469854,0.0,0.0175049309665,0.0,0.00103021978022,0.0,0.0,0.0,0.00686813186813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0367132867133,0.0,0.0,0.0,0.00897575706736
albatrossbrand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00109051254089
alcazar.javi,0.0018837018837,0.0,0.0,0.0,0.0,0.0,0.0003885003885,0.0,0.0,0.000161186331399,0.0,0.0,0.000219587176109,0.0,0.0,0.0,0.0002405002405,0.0,0.0,0.0,0.0,0.00487426059945
aldoser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ale_mograbe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
